,public_metrics,geo,author_id,text,id,created_at,lang,description,username,name,verified,id,location,protected,full_name,id,place_type,country,geo,name,country_code
10,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",{'place_id': 'a592bd6ceb1319f7'},1336399786585440257,"(11/6) Celebrated the 15th anniversary of @ThinkDignity , an organization advancing basic dignity for people experiencing homelessness through advocacy and innovation.",1459582037090701314,2021-11-13T18:00:50.000Z,en,"Councilmember for Council District 1 of @CityofSanDiego
👨‍👩‍👧‍👧  Husband & Dad
🌎  Engineer, Environmentalist, and ""Policy Wonk""",JoeLaCavaD1,Councilmember Joe LaCava,False,1336399786585440257,"San Diego, California",False,"Washington, DC",01fbe706f872cb32,city,United States,"{'type': 'Feature', 'bbox': [-77.119401, 38.801826, -76.909396, 38.9953797], 'properties': {}}",Washington,US
11,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",{'place_id': '01a9a39529b27f36'},10500412,"I have no issue with designboom, they did interesting work within the parameters they were given. But come on! The problem with our approach to homelessness isn’t DESIGN. It’s that we don’t acknowledge the right of people to live in dignity, so we won’t spend money to enable it.",1456252218680791045,2021-11-04T13:29:19.000Z,en,"Nonprofit fundraising consultant. “A very positive Twitter personality” -@_alexsommer. Housing/streets activist. Mbr, Manh CB6. Knows how to exit vim. he/him",richmintz,Rich Mintz,False,10500412,"Rose Hill, Manhattan",False,"Hollyvilla, KY",659547517c6975fb,city,United States,"{'type': 'Feature', 'bbox': [-85.754738, 38.08659, -85.734788, 38.097353], 'properties': {}}",Hollyvilla,US
12,"{'retweet_count': 1, 'reply_count': 11, 'like_count': 23, 'quote_count': 0}",{'place_id': '4ec01c9dbc693497'},2694372242,"@jacobhelberg China has broadly expected minimum education standards, state health care, housing for its citizens, plans to eradicate homelessness, elderly care, and the citizens have dignity at the cost of Individualism. Sound a fuck ton better than Alabama. Or West Virginia. Or New Mexico",1447428409601167360,2021-10-11T05:06:39.000Z,en,It appears that most Christians don't know their Origen from their Arius! #TaxTheChurches #RIPGOP #OutlawGreed #DINOextinction,JasonVaran,Arius’ Revenge 💸🕍🕌⛪️🕋🛕,False,2694372242,Jacksonville,False,"Santa Monica, CA",59612bd882018c51,city,United States,"{'type': 'Feature', 'bbox': [-118.5173575, 33.9951771, -118.443482, 34.050199], 'properties': {}}",Santa Monica,US
13,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",{'place_id': '01fbe706f872cb32'},1185182584571084800,Good news. @MurielBowser and @councilofdc should keep offering #housing and #dignity to those experiencing #homelessness all DC residents deserve a #fairshot https://t.co/3XHp79RzG1,1443924226331844635,2021-10-01T13:02:17.000Z,en,#DC Girl #writer  #Gamer #acnh #cozygrove #fallout Wants #equality #access & #inclusion for #BIPOC  Res. Coordiantor for @gacollb Opinions are my own.,Qtkira1,Qtkira,False,1185182584571084800,"Washington, DC",False,"Brooklyn, NY",011add077f4d2da3,city,United States,"{'type': 'Feature', 'bbox': [-74.041878, 40.570842, -73.855673, 40.739434], 'properties': {}}",Brooklyn,US
14,"{'retweet_count': 7, 'reply_count': 4, 'like_count': 34, 'quote_count': 0}",{'place_id': '659547517c6975fb'},16471367,"Another essay on Guaranteed Income that I had the privilege of editing is up at The Audacity today. This one, about health and homelessness and dignity in life and in death, is worth your time. 

https://t.co/HcxVv4RfOO",1438171324963299333,2021-09-15T16:02:18.000Z,en,MFA & PhD | Project Manager for @rgay |  Co-editor The Audacity | Founder @wearesubmerged | 🌈🌱| In @ElectricLit @GuernicaMag & more | Rep’d @AlyssaJennette,megpillow,Meg Pillow,False,16471367,"Louisville, KY",False,"Springfield, NJ",c418b0c82daabc44,city,United States,"{'type': 'Feature', 'bbox': [-74.360301, 40.677633, -74.299119, 40.720327], 'properties': {}}",Springfield,US
15,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",{'place_id': '59612bd882018c51'},20467920,"@nrm824 @aimeecarrero @hasanthehun Homelessness is more nuanced than “housing is unaffordable.” 2 big considerations are weather and laws that treat the homeless with dignity make it difficult to clear them off the streets, moving/trashing  their stuff when they are not present, etc. Perfect no, compassionate yes.",1428835816286003202,2021-08-20T21:46:19.000Z,en,"LA native, mom + believer in waking up everyday + doing the most good. Board Member @CA_Dem🐻 #ObamaAlum #blackgirlmagic #swiftie #dodgers *my own views/typos",amywiwuga,Amy Wiwuga,False,20467920,"Santa Monica, CA",False,"Scottdale, GA",3f866c0018a4d8a0,city,United States,"{'type': 'Feature', 'bbox': [-84.280759, 33.775633, -84.245364, 33.8270898], 'properties': {}}",Scottdale,US
16,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",{'place_id': '011add077f4d2da3'},43348975,"@yazelroque @MarkLevineNYC Hopefully we can simultaneously fix the drug problem &amp; homelessness issue, while also giving all people the dignity to use restrooms readily. 😀",1417546408572379138,2021-07-20T18:06:15.000Z,en,"i work in TV, and i bike a lot.",subtle116,paco (dave) abraham,False,43348975,Brooklyn,False,"Los Angeles, CA",3b77caf94bfc81fe,city,United States,"{'type': 'Feature', 'bbox': [-118.668404, 33.704538, -118.155409, 34.337041], 'properties': {}}",Los Angeles,US
17,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",{'place_id': 'c418b0c82daabc44'},846532237801738243,Homelessness growing in NJ. Why aren’t we concerned w mental illness &amp; drug abuse that leads to homelessness. All people need to live their lives w dignity. COVID hysteria Stupid at the bottom of a long list Risk vs Death. Crisis after Crisis with no resolve. Taxes just increase https://t.co/i0PYqPqnwY,1416413640362704900,2021-07-17T15:05:02.000Z,en,"House Manager, Mother to 4 amazing children, Proud to be Italian American.",assuntinaprisco,Assuntina Vita Bella,False,846532237801738243,,False,"Chula Vista, CA",28ace6b8d6dbc3af,city,United States,"{'type': 'Feature', 'bbox': [-117.117116, 32.582128, -116.9278103, 32.685406], 'properties': {}}",Chula Vista,US
18,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 15, 'quote_count': 0}",{'place_id': '3f866c0018a4d8a0'},1617991676,Follow this to learn more about this incredible project started by @EmoryRollins students to bring dignity and promote health to those experiencing homelessness. https://t.co/HsUhRwpGpT,1415495890215788545,2021-07-15T02:18:13.000Z,en,"Assoc Dean Research, Professor, Environmental Health, @EmoryRollins, @EmoryUniversity Molecular Epidemiology, (Epi)Genomics,  he/him #LGBTQinSTEM 🏳️‍🌈",CMarsit,Carmen Marsit🏳️‍🌈,False,1617991676,"Atlanta, GA",False,"Fayetteville, NC",4548df3d99bb4891,city,United States,"{'type': 'Feature', 'bbox': [-79.195342, 34.936245, -78.808883, 35.173009], 'properties': {}}",Fayetteville,US
19,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}",{'place_id': '3b77caf94bfc81fe'},1388727168260186112,"Make no mistake — The City has the money to permanently install public toilets &amp; hand-washing stations to protect the health &amp; dignity of unhoused Angelenos.

Poverty is a policy choice.

Homelessness is a policy choice.

This unnecessary cruelty is a policy choice. https://t.co/XyqOci1QZo",1415152924016005122,2021-07-14T03:35:24.000Z,en,"J-Town Action と Solidarity is a grassroots collective building community power in Little Tokyo. | Power Ups w/ @WeTheUnhoused every Sat, 1st & Judge Aiso 2-5pm",JTOWNACTION,J-Town Action と Solidarity,False,1388727168260186112,"Los Angeles, CA",False,"Southbury, CT",00ee37215d8e302b,city,United States,"{'type': 'Feature', 'bbox': [-73.265612, 41.416303, -73.146374, 41.51426], 'properties': {}}",Southbury,US
20,"{'retweet_count': 16, 'reply_count': 0, 'like_count': 49, 'quote_count': 4}",{'place_id': '011add077f4d2da3'},108200472,"Today the @NYSenateDems passed the House Our Neighbors w/ Dignity Act! And the @NYSA_Majority is expected to pass #HONDA tomorrow. 

Thank you @SenGianaris &amp; @KarinesReyes87 for having the courage to confront homelessness and win housing for NYers who need it most! https://t.co/JxwcBEfvHI",1402747684998553600,2021-06-09T22:01:24.000Z,en,"G'roots organizing for healthy & just communities. HIV, drug policy, incarceration & homelessness. Media requests: media@vocal-ny.org",VOCALNewYork,VOCAL-NY,False,108200472,New York,False,"San Francisco, CA",5a110d312052166f,city,United States,"{'type': 'Feature', 'bbox': [-122.514926, 37.708075, -122.357031, 37.833238], 'properties': {}}",San Francisco,US
21,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 10, 'quote_count': 0}",{'place_id': '011add077f4d2da3'},936379026486243328,Homelessness is a policy choice...let’s choose housing  instead! Time to pass the Housing Our Neighbors with Dignity Act! https://t.co/JCRv8eAf8n,1400844208525676546,2021-06-04T15:57:40.000Z,en,"Right now, we're fighting for a #RightToRemain by enacting a statewide Good Cause Eviction law. Events/updates/join us here: https://t.co/q7mA4SheOk",nycdsa_housing,NYC-DSA Housing🌹🏡🏢,False,936379026486243328,"New York, NY",False,"Roseville, CA",38109314e8d0ee2f,city,United States,"{'type': 'Feature', 'bbox': [-121.385009, 38.716061, -121.216452, 38.8102595], 'properties': {}}",Roseville,US
22,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': 'ac88a4f17a51c7fc'},257201155,"Remember Dignity Village? Baloney Joe’s? 
Camping on the sidewalk is NOT ok. 
We can do better, #Pdx! 
Homelessness in downtown Portland? Poll results rank popular solutions offered by area residents https://t.co/X1GzLjaYEJ",1396488615597789189,2021-05-23T15:30:06.000Z,en,"Liberal Catholic woman who thinks, reads, & votes. I like politics, education, good food/drink, books, knitting & ranting. (MA Ed)",Meesh_OR,Mrs. B stands against tyranny 🌻🇺🇦,False,257201155,"Portland, OR",False,"Oakland, CA",ab2f2fac83aa388d,city,United States,"{'type': 'Feature', 'bbox': [-122.34266, 37.699279, -122.114711, 37.8847092], 'properties': {}}",Oakland,US
23,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",{'place_id': '011add077f4d2da3'},17413248,"We have a bill sitting in Albany- #HONDA, the House Our Neighbors with Dignity Act, that would allow NYS to buy vacant and struggling hotels and convert them to permanent housing for those experiencing homelessness.

To #EndHomelessness call your @NYSenDems or @NYSA_Majority now! https://t.co/RoFaEZnpC6",1395772872971456514,2021-05-21T16:05:59.000Z,en,Black Leftist. Queer. Writer. Socialist. Christian. Director of Organizing @VOCALNEWYORK Inquiries: jawanza@vocal-ny.org |,Jawanza,"Jawanza James Williams | He, Him| 🌹",False,17413248,"New York, USA",False,"Kihei, HI",7549d63cc5e68de9,city,United States,"{'type': 'Feature', 'bbox': [-156.488217, 20.713353, -156.430615, 20.797329], 'properties': {}}",Kihei,US
24,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '28ace6b8d6dbc3af'},84932964,"RT @SecFudge 
ICYMI - Yesterday we announced $5 billion in #AmericanRescuePlan funds for vouchers to house people experiencing homelessness

Moving forward, @HUD will continue to do everything in our power to provide every American w the chance to live w stability, dignity &amp; hope https://t.co/ys2X0h5wn3",1395009417377026052,2021-05-19T13:32:17.000Z,en,"Salud+Health info constantly working to inform, educate and empower communities about health and safety issues to encourage a healthier style of life.",SaludHEALTHinfo,SaludHEALTHinfo,False,84932964,SAN DIEGO,False,"Baltimore, MD",c0b8e8dc81930292,city,United States,"{'type': 'Feature', 'bbox': [-76.7115205, 39.197211, -76.529443, 39.372215], 'properties': {}}",Baltimore,US
25,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",{'place_id': 'a592bd6ceb1319f7'},1000106205681876992,“Get police out of the homelessness business” Thank you @HomelessnessSD @amie_zamudio and everyone today that stood up for respect and dignity https://t.co/nQZnyapj2c,1393319068401246209,2021-05-14T21:35:27.000Z,en,"Strictly feminist, R.N. Child advocate ✡️ 🟣",GretchenGGG333,Gretchen,False,1000106205681876992,"San Diego, CA",False,"The Hammocks, FL",7707ad9771781687,city,United States,"{'type': 'Feature', 'bbox': [-80.498527, 25.65479, -80.4158778, 25.6886916], 'properties': {}}",The Hammocks,US
26,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 13, 'quote_count': 1}",{'place_id': '01a9a39529b27f36'},2172163683,"The takeaway: Housing is the foundation.

A safe and clean place to live allows for people to find work, take care of themselves, and have some dignity. New Yorkers experiencing homelessness who were moved from shelters to hotel rooms are living proof:
https://t.co/OseDlYza25",1392222450151305216,2021-05-11T20:57:53.000Z,en,Lifelong New Yorker | NYC Council Member | “Lower East Sider” | Government: @CMCarlinaRivera,CarlinaRivera,Carlina Rivera 利華娜,True,2172163683,"Manhattan, NY",False,"Sugar Land, TX",7a41192a2879ee24,city,United States,"{'type': 'Feature', 'bbox': [-95.686106, 29.5433718, -95.5772726, 29.663556], 'properties': {}}",Sugar Land,US
27,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '4548df3d99bb4891'},69359453,"I am so happy this painting was selected to be a part of Dwell With Dignity Thrift Studio in Dallas. This is a designer/artist driven event created to help families escape poverty &amp; homelessness.  To see available art: https://t.co/1r9stdQLMz 
#original art #abstract landscape https://t.co/Q5PTnC6qHG",1389953494661177344,2021-05-05T14:41:51.000Z,en,,jeanneplayer,Jeanne Player,False,69359453,"Fayetteville, NC",False,"Minneapolis, MN",8e9665cec9370f0f,city,United States,"{'type': 'Feature', 'bbox': [-93.329515, 44.889964, -93.194578, 45.051257], 'properties': {}}",Minneapolis,US
28,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 8, 'quote_count': 2}",{'place_id': '00ee37215d8e302b'},18744189,"Looking forward to being with @bchands_org for their Virtual Gala on May 20th, in support of their mission of ending #homelessness in #brooklyn They take their residents from crisis to community, helping to #empower them to live with #dignity &amp; #hope
https://t.co/0p0HGjhiO2 https://t.co/5IYGIjuezb",1387071385386766338,2021-04-27T15:49:23.000Z,en,"The Artist, The Coach, The Cook. American Idol Season 2 
Dr & The Diva, Everyday Emeril, What's Cooking With Kimberley
Let's grow together. 
#Love #Kindness",KimberleyLocke,Kimberley Locke,True,18744189,"New York, NY",False,"Wisconsin, USA",7dc5c6d3bfb10ccc,admin,United States,"{'type': 'Feature', 'bbox': [-92.889433, 42.491921, -86.24955, 47.309715], 'properties': {}}",Wisconsin,US
29,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '5a110d312052166f'},32061396,"@SFPublicPress @SF_HSH @ShireenMcSp @Cynthianagendra @AaronPeskin @HospitalityHous Will not succeed. Hate to be so pessimistic but of all the data SF collects on homelessness here, there is no category for dignity. I've been homeless for ten years and might lose my current housing. But SF is using a ""take it or leave it"" towards to too many Blacks. No thanks.",1385248968565608448,2021-04-22T15:07:45.000Z,en,"Physically I can't walk but do walk spritually with Jesus. (Psalms 147: 10 - 11)
The only thing I love more than justice is the freedom to fight for it.",calclemency,Allen Jones,False,32061396,San Francisco,False,"Corona, CA",5e4b6834e36e68fa,city,United States,"{'type': 'Feature', 'bbox': [-117.672915, 33.802102, -117.498401, 33.916084], 'properties': {}}",Corona,US
30,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '5a110d312052166f'},32061396,"@sfexaminer SF City Hall does not have a clue on how best to handle its homeless problem. All the data on Homelessness does not have a category for dignity. Homeless are refusing shelter because their dignity will not allow them to accept ""take it or leave it"" housing, which is not housing.",1384889724754616320,2021-04-21T15:20:15.000Z,en,Journalist 📰 Victim Advocate ✍️ Personal Trainer 💪Mom to 2 amazing teens 🙌 Huge @Canucks and @49ers fan. Let’s Go! 🏒🏈🇨🇦 👉 🇺🇸 #StandWithUkraine 🇺🇦,empoweringmoms,Kelley Scarsbrook,False,34357366,"Roseville, CA",False,"Atlanta, GA",8173485c72e78ca5,city,United States,"{'type': 'Feature', 'bbox': [-84.576827, 33.6475029, -84.289385, 33.8868859], 'properties': {}}",Atlanta,US
31,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",{'place_id': '38109314e8d0ee2f'},34357366,"I think this is a tremendous idea, and other communities should embrace this. It gives back dignity, it helps the community with garbage. I think this is a win-win. Well done Elk Grove. 👍👏 #ElkGrove #homelessness #trash https://t.co/qKGUTBrMsy",1380183538897588225,2021-04-08T15:39:32.000Z,en,Mayor of @CityofSanDiego. Proud son of a hotel maid and a gardener. Working to build a San Diego that works #ForAllofUs. (He/him/él),MayorToddGloria,San Diego Mayor Todd Gloria,True,3137618246,"San Diego, CA",False,"Queens, NY",00c39537733fa112,city,United States,"{'type': 'Feature', 'bbox': [-73.962582, 40.541722, -73.699793, 40.8000371], 'properties': {}}",Queens,US
32,"{'retweet_count': 31, 'reply_count': 37, 'like_count': 193, 'quote_count': 22}",{'place_id': 'a592bd6ceb1319f7'},3137618246,"I have directed a series of changes to how @CityofSanDiego addresses homeless encampments and people experiencing homelessness. While we must protect public health, we will do so with compassion, respect, and human dignity. #ForAllofUs https://t.co/uU4chf20eb",1376557788545966088,2021-03-29T15:32:06.000Z,en,Executive Director @AllianceforBMoC || Thinking in Motion || Black Chicano ||@UCBerkeley @GoldmanSchool || #abolition #politicaleconomy,EricAngelo_MS,Eric Morrison-Smith,False,1383262262,"Oakland, CA",False,"Nashville, TN",00ab941b685334e3,city,United States,"{'type': 'Feature', 'bbox': [-87.022482, 35.9945681, -86.560616, 36.405448], 'properties': {}}",Nashville,US
33,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",{'place_id': 'ab2f2fac83aa388d'},1383262262,"Homelessness is economic violence. When we allow it, we deny people of their humanity, dignity and personhood. Homelessness should be recognized as an injustice, not a norm. https://t.co/Sr6TxWpT2l",1372362357985349632,2021-03-18T01:40:58.000Z,en,Support #GivingTuesdayNow for Project Vision Hawai‘i by donating today! https://t.co/qVb0I0IhBW,ProjectVisionHI,Project Vision Hawaii,False,3242688444,"Hawaii, USA",False,"Philadelphia, PA",e4a0d228eb6be76b,city,United States,"{'type': 'Feature', 'bbox': [-75.280284, 39.871811, -74.955712, 40.13792], 'properties': {}}",Philadelphia,US
34,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'place_id': '7549d63cc5e68de9', 'coordinates': {'type': 'Point', 'coordinates': [-156.45043752, 20.77575262]}}",3242688444,"No caption needed.

#homelessnessawareness #holisticapproach #dignity #hiehie #homelessness #weareone #bethechange #makeadifference #lendahand #hellertoon #joeheller https://t.co/cIaSoMWngi",1364259408612581378,2021-02-23T17:02:44.000Z,en,"U.S. House Candidate, CA-30 (she/her/they/them)🌈Silver Lake Neighborhood Councilwoman 🌈 Trans/Non-Binary🏳️‍⚧️Drag Queen🌴LA #blacklivesmatter #medicareforall",Maebe_A_Girl,Maebe A. Girl for Congress,True,4105010958,"Los Angeles, CA",False,"Lancaster, CA",04291149b14feb9d,city,United States,"{'type': 'Feature', 'bbox': [-118.280798, 34.6309445, -118.045755, 34.740709], 'properties': {}}",Lancaster,US
35,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",{'place_id': '3b77caf94bfc81fe'},4105010958,"@davidnuvelle Not all people experiencing homelessness are drug addicts. And drug addicts deserve human dignity, shelter, and medical assistance. Keep going...",1363344776616022019,2021-02-21T04:28:19.000Z,en,"#LCSWloading, Trainee in #PAT 🍄 💊. I work #PrimaryCare. I ❤️ SJW, 🌱, 🏙. Opinions are my own & not the views of my employer. #DS50 He/They 🏳️‍🌈🇬🇩🇺🇲",gerald_joseph90,"Gerald Joseph, MSW, ACM, CTP",False,19944613,"Washington, DC",False,"Arizona, USA",a612c69b44b2e5da,admin,United States,"{'type': 'Feature', 'bbox': [-114.818269, 31.3322463, -109.0451527, 37.004261], 'properties': {}}",Arizona,US
